N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  46,0.683E+01,.57735E+00,  3522.881, 0.846E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.128E-02,0.257E+04,0.558E-03,.18618E+04,0.391E-03,   0.10398,   0.00099,    0.1598927503E+06,    0.3426381341E+05,    0.1452174804E+05,    0.1887940381E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6866513739E+06,    0.2697580679E+04
  47,0.683E+01,.57735E+00,  3522.881, 0.979E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.145E-02,0.290E+04,0.565E-03,.18670E+04,0.442E-03,   0.02882,   0.00111,    0.1644469409E+06,    0.3442174444E+05,    0.1305878947E+05,    0.1886234894E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6046865097E+06,    0.2640186217E+04
  48,0.683E+01,.57735E+00,  3522.881, 0.113E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.164E-02,0.329E+04,0.573E-03,.18730E+04,0.498E-03,  -0.06008,   0.00124,    0.1691316869E+06,    0.3460270446E+05,    0.1168450524E+05,    0.1884169114E+05,    0.4025672026E+06,    0.4533332048E+06,    0.5325251776E+06,    0.2579009674E+04
  49,0.683E+01,.57735E+00,  3522.881, 0.131E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.186E-02,0.372E+04,0.581E-03,.18798E+04,0.561E-03,  -0.16244,   0.00140,    0.1739347667E+06,    0.3481015355E+05,    0.1042429342E+05,    0.1881652527E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4689384844E+06,    0.2514232015E+04
  50,0.683E+01,.57735E+00,  3522.881, 0.151E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.210E-02,0.420E+04,0.590E-03,.18875E+04,0.632E-03,  -0.27890,   0.00158,    0.1788548034E+06,    0.3504807138E+05,    0.9298478298E+04,    0.1878570674E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4129338681E+06,    0.2446013788E+04
  51,0.683E+01,.57735E+00,  3522.881, 0.174E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.238E-02,0.476E+04,0.600E-03,.18962E+04,0.712E-03,  -0.41039,   0.00177,    0.1839052418E+06,    0.3532102817E+05,    0.8319179941E+04,    0.1874778654E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3636540629E+06,    0.2374571762E+04
  52,0.683E+01,.57735E+00,  3522.881, 0.200E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.269E-02,0.538E+04,0.610E-03,.19058E+04,0.801E-03,  -0.55775,   0.00199,    0.1891168297E+06,    0.3563426199E+05,    0.7488162994E+04,    0.1870093472E+05,    0.4025672026E+06,    0.4533332048E+06,    0.3203392960E+06,    0.2300196829E+04
  53,0.683E+01,.57735E+00,  3522.881, 0.231E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.304E-02,0.609E+04,0.620E-03,.19165E+04,0.902E-03,  -0.72159,   0.00223,    0.1945375841E+06,    0.3599376262E+05,    0.6796087106E+04,    0.1864284956E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2823104492E+06,    0.2223247361E+04
  54,0.683E+01,.57735E+00,  3522.881, 0.266E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.344E-02,0.689E+04,0.632E-03,.19282E+04,0.101E-02,  -0.90226,   0.00250,    0.2002294647E+06,    0.3640636155E+05,    0.6223534857E+04,    0.1857065061E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2489587926E+06,    0.2144131571E+04
  55,0.683E+01,.57735E+00,  3522.881, 0.307E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.389E-02,0.779E+04,0.643E-03,.19410E+04,0.114E-02,  -1.09974,   0.00279,    0.2062616137E+06,    0.3687982767E+05,    0.5743857680E+04,    0.1848075433E+05,    0.4025672026E+06,    0.4533332048E+06,    0.2197385623E+06,    0.2063284637E+04
